ticker,naive_mae,naive_rmse,ewma_mae,ewma_rmse
AFKS,0.15852281352441688,0.25524200121261986,0.15398105268106652,0.24149526941519797
AFLT,0.15990606983297556,0.2778290824627012,0.15588225223960295,0.261711557928572
ALRS,0.12758630266914067,0.2034990997988594,0.12474457393765585,0.19356146806548322
BELU,0.41267142590079253,1.2513957288438793,0.43367085060436067,1.2233607400343605
BSPB,0.20238673428724022,0.34774682817655655,0.2023040805493436,0.3389432974223369
CHMF,0.15363252135115085,0.2357298617493772,0.1430918192883843,0.2193818845367497
FIVE,0.1551908290896543,0.25513114275529886,0.15588188061343722,0.24553211338943423
GAZP,0.1791273508952191,0.3259026288414907,0.17482769173354318,0.31415030249709336
GMKN,0.1203546528142607,0.17276638375723227,0.11665867065159331,0.16923776740669536
HYDR,0.1267868652384903,0.19687989605560824,0.11972663463298948,0.18276582007319078
IMOEX,0.11301383107868651,0.2653228461201118,0.11170300997100709,0.2590141244021957
IRAO,0.14654366057899745,0.3431498133928713,0.14125481650438726,0.3201103705206356
LENT,0.17816144257315705,0.3161887277865053,0.1832003948776446,0.3157082350431025
LKOH,0.12700793668692245,0.20438889865880172,0.12515138693191563,0.20020857475882506
MAGN,0.13513561636911936,0.18606207035819883,0.12866499786328744,0.17645703878279317
MGNT,0.13757491761255117,0.23642470118664466,0.13312927743674555,0.2241055978510693
MTSS,0.15607131218506426,0.2662294412230668,0.14878827791245164,0.2541638822683063
NLMK,0.13042642180751288,0.1987923431008377,0.12617290711471438,0.19117344221885363
NVTK,0.1458196365391773,0.2453711704672238,0.14316641292963908,0.23983254542052737
OZON,0.2115122521553623,0.31933516522603317,0.20250196394996878,0.303251705769725
PIKK,0.17160909808156177,0.25294952841454216,0.16449452782765236,0.23691100098429058
PLZL,0.127845984665275,0.22283667552384742,0.12567244303655434,0.21329516414890828
ROSN,0.14765366982291844,0.3050120266023866,0.1449801621535302,0.2911549472743565
RTKM,0.1299874560824969,0.2005173686842747,0.12406392776502685,0.19050595949228744
SBER,0.14292018428516426,0.2685970538186673,0.13785462652926808,0.26068947989060776
SNGS,0.16148104546147313,0.2761268925223531,0.15915577385779028,0.26405141600609255
TATN,0.1480544073036089,0.28111531697359693,0.14430654839853987,0.27322540556488106
TCSG,0.21313961504049264,0.3159931436109812,0.20819092653028012,0.31393169051855024
VKCO,0.26163185453013504,0.5201337414172308,0.254077699184955,0.5052954161607586
VTBR,0.19586039989538367,0.35484354699789694,0.19565986659144946,0.3422760564684682
YNDX,0.11430983051056046,0.1369546833807143,0.1100817083076107,0.13437125856614413
