feature,importance
parkinson_vol_10d,3862.1278562545776
ewma_vol_20d,2898.188138961792
ticker_id,2468.8282940387726
index_vol_30d,1045.6308953762054
parkinson_vol_20d,1043.3374285697937
index_vol_60d,934.998831987381
gk_vol_10d,818.1182310581207
ewma_vol_10d,666.1060099601746
sma_50_slope_norm,619.1465792655945
dist_to_ema_20,538.7310574054718
gk_vol_20d,433.4054424762726
vol_asymmetry_20d,419.01706051826477
day_of_month,416.28131127357483
dist_to_sma_20,404.54230403900146
down_vol_20d,395.5230383872986
dist_to_sma_200,387.8195676803589
momentum_10,384.56439876556396
rv_60d,371.1259799003601
vol_ratio_20_60,360.7093107700348
sector_id,343.36266899108887
dist_to_ema_50,333.29608058929443
rv_30d,305.8163013458252
correlation_30d,300.64346075057983
up_vol_20d,296.55950021743774
beta_60d,296.08931827545166
trend_strength,293.331419467926
rv_5d,290.85566115379333
correlation_60d,245.27923130989075
vp_width_pct,244.14259934425354
beta_30d,213.21731090545654
vol_momentum_10d,210.98769974708557
sma_20_slope_norm,200.71231031417847
vol_ratio_5_20,197.375638961792
rsi_14,191.9236798286438
vol_ratio_park_rv,179.91145944595337
liquidity_rank,172.74523091316223
vp_position,164.0800199508667
beta_change,159.39684009552002
rv_20d,153.38519954681396
vol_momentum_5d,152.18522787094116
volume_zscore_60,151.86750030517578
rv_10d,145.37303924560547
dist_to_sma_50,107.84029054641724
volume_ratio_20,95.70213031768799
momentum_20,90.42100930213928
volume_zscore_20,82.4899091720581
week_of_month,68.08076906204224
log_return,56.20533990859985
sector_encoded,51.82972955703735
vp_above_va,39.61018943786621
price_position_ma,28.612229824066162
trend_signal,19.602270126342773
lot_size_log,16.309499740600586
overnight_gap_zscore,10.010740280151367
overnight_gap,5.998429775238037
day_of_week,0.0
is_month_start,0.0
volume_spike,0.0
is_month_end,0.0
vds,0.0
opm,0.0
ivr,0.0
pocs,0.0
hvc,0.0
irr,0.0
is_blue_chip,0.0
